	dlow	dhigh	spellName	spellClass	spellLevel
	9999	9999	Banishment	cleric6_oracle6, sorcerer_wizard7, summoner5, inquisitor5
	9999	9999	Barkskin	druid2, ranger2, summoner2, alchemist2
	9999	9999	Bear's Endurance	cleric2_oracle2, druid2, ranger2, sorcerer_wizard2, summoner2, alchemist2, magus2
	9999	9999	Bear's Endurance, Mass	cleric6_oracle6, druid6, sorcerer_wizard6, summoner4, magus6
	9999	9999	Beast Shape I	sorcerer_wizard3, alchemist3, magus3
	9999	9999	Beast Shape II	sorcerer_wizard4, alchemist4, magus4
	9999	9999	Beast Shape III	sorcerer_wizard5, alchemist5, magus5
	9999	9999	Beast Shape IV	sorcerer_wizard6, alchemist6, magus6
	9999	9999	Bestow Curse	cleric3_oracle3, sorcerer_wizard4, witch3, antipaladin3
	9999	9999	Binding	sorcerer_wizard8, summoner6
	9999	9999	Black Tentacles	sorcerer_wizard4, witch4, summoner3, magus4
	9999	9999	Blade Barrier	cleric_oracle6, inquisitor6
	9999	9999	Blasphemy	cleric_oracle7, inquisitor6
	9999	9999	Bleed	cleric_oracle0, inquisitor0, sorcerer_wizard0, witch0
	9999	9999	Bless	cleric_oracle1, paladin1, inquisitor1
	9999	9999	Bless Water	cleric1_oracle1, paladin1, inquisitor1
	9999	9999	Bless Weapon	paladin1
	9999	9999	Blight	druid4, sorcerer_wizard5, witch5
	9999	9999	Blindness_Deafness	antipaladin2, bard2, cleric_oracle3, sorcerer_wizard2, witch2
	9999	9999	Blink	bard3, sorcerer_wizard3, magus3
	9999	9999	Blur	bard2, sorcerer_wizard2, summoner2, alchemist2, magus2
	9999	9999	Break Enchantment	bard4, cleric_oracle5, paladin4, sorcerer_wizard5, witch5, inquisitor5
	9999	9999	Breath Of Life	cleric_oracle5
	9999	9999	Bull's Strength	cleric2_oracle2, druid2, paladin2, sorcerer_wizard2, summoner2, alchemist2, antipaladin2, magus2
	9999	9999	Bull's Strength, Mass	cleric6_oracle6, druid6, sorcerer_wizard6, summoner4, magus6
	9999	9999	Burning Hands	sorcerer_wizard1, witch1, magus1
	9999	9999	Call Lightning	druid3
	9999	9999	Call Lightning Storm	druid5
	9999	9999	Calm Animals	druid1, ranger1
	9999	9999	Calm Emotions	bard2, cleric2_oracle2, inquisitor2
	9999	9999	Cat's Grace	bard2, druid2, ranger2, sorcerer_wizard2, summoner2, alchemist2, magus2
	9999	9999	Cat's Grace, Mass	bard6, druid6, sorcerer_wizard6, summoner4, magus6
	9999	9999	Cause Fear	antipaladin1, bard1, cleric_oracle1, inquisitor1, sorcerer_wizard1, witch1
	9999	9999	Chain Lightning	sorcerer_wizard6, witch7, magus6
	9999	9999	Changestaff	druid7
	9999	9999	Chaos Hammer	cleric_oracle4, inquisitor4
	9999	9999	Charm Person	bard1, sorcerer_wizard1, witch1
	9999	9999	Charm Animal	druid1, ranger1
	9999	9999	Charm Monster	bard3, sorcerer_wizard4, witch4, summoner3
	9999	9999	Charm Monster, Mass	bard6, sorcerer_wizard8, witch8, summoner6
	9999	9999	Chill Metal	druid2
	9999	9999	Chill Touch	sorcerer_wizard1, witch1, magus1
	9999	9999	Circle Of Death	sorcerer_wizard6, inquisitor6
	9999	9999	Clairaudience_Clairvoyance	bard3, sorcerer_wizard3, witch3
	9999	9999	Clenched Fist	sorcerer_wizard8
	9999	9999	Cloak of Chaos	cleric8_oracle8
	9999	9999	Clone	sorcerer_wizard8, witch8
	9999	9999	Cloudkill	sorcerer_wizard5, witch5, magus5
	9999	9999	Color Spray	sorcerer_wizard1, magus1
	9999	9999	Command	antipaladin1, cleric_oracle1, inquisitor1, witch1
	9999	9999	Command, Greater	cleric5_oracle5, inquisitor5
	9999	9999	Command Plants	druid4, ranger3
	9999	9999	Command Undead	sorcerer_wizard2
	9999	9999	Commune	cleric5_oracle5, inquisitor5
	9999	9999	Commune with Nature	druid5, ranger4
	9999	9999	Comprehend Languages	bard1, cleric1_oracle1, sorcerer_wizard1, witch1, inquisitor1, alchemist1
	9999	9999	Cone of Cold	sorcerer_wizard5, witch6, magus5
	9999	9999	Confusion	bard3, sorcerer_wizard4, witch4
	9999	9999	Confusion, Lesser	bard1
	9999	9999	Consecrate	cleric_oracle2, inquisitor2
	9999	9999	Contact Other Plane	sorcerer_wizard5, witch5, summoner4, alchemist5
	9999	9999	Contagion	cleric_oracle3, druid3, sorcerer_wizard4, antipaladin3
	9999	9999	Contingency	sorcerer_wizard6
	9999	9999	Continual Flame	cleric3_oracle3, sorcerer_wizard2, inquisitor3
	9999	9999	Control Plants	druid8
	9999	9999	Control Undead	sorcerer_wizard7
	9999	9999	Control Water	cleric4_oracle4, druid4, sorcerer_wizard6
	9999	9999	Control Weather	cleric_oracle7, druid7, sorcerer_wizard7, witch7
	9999	9999	Control Winds	druid5
	9999	9999	Create Food and Water	cleric3_oracle3
	9999	9999	Create Undead	cleric6_oracle6, sorcerer_wizard6
	9999	9999	Create Greater Undead	cleric8_oracle8, sorcerer_wizard8
	9999	9999	Create Water	cleric0_oracle0, druid0, paladin1, inquisitor0
	9999	9999	Creeping Doom	druid7, summoner5
	9999	9999	Crushing Despair	bard3, sorcerer_wizard4, witch4
	9999	9999	Crushing Hand	sorcerer_wizard9
	9999	9999	Cure Light Wounds	bard1, cleric_oracle1, druid1, paladin1, ranger2, witch1, inquisitor1, alchemist1
	9999	9999	Cure Critical Wounds	bard4, cleric_oracle4, druid5, witch5, inquisitor4, alchemist4
	9999	9999	Cure Light Wounds, Mass	bard5, cleric5_oracle5, druid6, witch6, inquisitor5
	9999	9999	Cure Critical Wounds, Mass	cleric8_oracle8, druid9, witch9
	9999	9999	Cure Moderate Wounds	bard2, cleric_oracle2, druid3, paladin3, ranger3, witch2, inquisitor2, alchemist2
	9999	9999	Cure Moderate Wounds, Mass	bard6, cleric6_oracle6, druid7, witch7, inquisitor6
	9999	9999	Cure Serious Wounds	bard3, cleric_oracle3, druid4, paladin4, ranger4, witch4, inquisitor3, alchemist3
	9999	9999	Cure Serious Wounds, Mass	cleric7_oracle7, druid8, witch8
	9999	9999	Curse Water	cleric1_oracle1, inquisitor1, antipaladin1
	9999	9999	Dancing Lights	bard0, sorcerer_wizard0, witch0, magus0
	9999	9999	Darkness	bard2, cleric_oracle2, sorcerer_wizard2, inquisitor2, antipaladin2, magus2
	9999	9999	Darkvision	ranger3, sorcerer_wizard2, alchemist2, antipaladin2
	9999	9999	Daylight	bard3, cleric_oracle3, druid3, paladin3, sorcerer_wizard3, inquisitor3, magus3
	9999	9999	Daze	bard0, sorcerer_wizard0, witch0, summoner0, inquisitor0, magus0
	9999	9999	Daze Monster	bard2, sorcerer_wizard2, summoner1, witch2
	9999	9999	Death Knell	cleric_oracle2, inquisitor2, witch2, antipaladin1
	9999	9999	Death Ward	cleric4_oracle4, druid5, paladin4, witch4, inquisitor4, alchemist4
	9999	9999	Deathwatch	cleric1_oracle1
	9999	9999	Deeper Darkness	cleric3_oracle3
	9999	9999	Deep Slumber	bard3, sorcerer_wizard3, witch3
	9999	9999	Delayed Blast Fireball	sorcerer_wizard7
	9999	9999	Delay Poison	bard2, cleric2_oracle2, druid2, paladin2, ranger1, alchemist2, witch2, inquisitor2
	9999	9999	Demand	sorcerer_wizard8, witch8
	9999	9999	Desecrate	cleric_oracle2, inquisitor2, antipaladin2
	9999	9999	Destruction	cleric7_oracle7, witch8
	9999	9999	Detect Animals or Plants	druid1, ranger1
	9999	9999	Detect Chaos	cleric1_oracle1, inquisitor1
	9999	9999	Detect Evil	cleric1_oracle1, inquisitor1
	9999	9999	Detect Good	cleric1_oracle1, inquisitor1
	9999	9999	Detect Law	cleric1_oracle1, inquisitor1
	9999	9999	Detect Magic	bard0, cleric0_oracle0, druid0, sorcerer_wizard0, summoner0, witch0, inquisitor0, magus0
	9999	9999	Detect Poison	cleric0_oracle0, druid0, paladin1, ranger1, sorcerer_wizard0
	9999	9999	Detect Scrying	bard4, sorcerer_wizard4, witch4, inquisitor4
	9999	9999	Detect Secret Doors	alchemist1, bard1, sorcerer_wizard1, witch1
	9999	9999	Detect Snares and Pits	druid1, ranger1
	9999	9999	Detect Thoughts	bard2, sorcerer_wizard2, alchemist2, summoner2, witch2, inquisitor2
	9999	9999	Detect Undead	cleric1_oracle1, paladin1, sorcerer_wizard1, alchemist1, inquisitor1, alchemist1, inquisitor1
	9999	9999	Dictum	cleric_oracle7, inquisitor6
	9999	9999	Dimensional Anchor	cleric4_oracle4, sorcerer_wizard4, summoner3, inquisitor3
	9999	9999	Dimensional Lock	cleric8_oracle8, sorcerer_wizard8, summoner6
	9999	9999	Dimension Door	bard4, sorcerer_wizard4, summoner3, witch4, magus4
	9999	9999	Diminish Plants	druid3, ranger3
	9999	9999	Discern Lies	cleric4_oracle4, paladin3, alchemist4, witch4, inquisitor4, alchemist4, witch4, inquisitor4
	9999	9999	Discern Location	cleric8_oracle8, sorcerer_wizard8, summoner6, witch8
	9999	9999	Disguise Self	bard1, sorcerer_wizard1, alchemist1, inquisitor1, antipaladin1
	9999	9999	Disintegrate	sorcerer_wizard6, magus6
	9999	9999	Dismissal	cleric4_oracle4, sorcerer_wizard5, summoner4, inquisitor4
	9999	9999	Dispel Chaos	cleric5_oracle5, paladin4, inquisitor5
	9999	9999	Dispel Evil	cleric5_oracle5, paladin4, inquisitor5
	9999	9999	Dispel Good	cleric5_oracle5, inquisitor5, antipaladin4
	9999	9999	Dispel Law	cleric5_oracle5, inquisitor5, antipaladin4
	9999	9999	Dispel Magic	bard3, cleric_oracle3, druid4, paladin3, sorcerer_wizard3, summoner3, witch3, inquisitor3, antipaladin3, magus3
	9999	9999	Dispel Magic, Greater	bard5, cleric6_oracle6, druid6, sorcerer_wizard6, witch6, inquisitor6, summoner5, magus6
	9999	9999	Displacement	bard3, sorcerer_wizard3, alchemist3, summoner3, magus3
	9999	9999	Disrupting Weapon	cleric5_oracle5, inquisitor5
	9999	9999	Disrupt Undead	sorcerer_wizard0, inquisitor0, magus0
	9999	9999	Divination	cleric4_oracle4, witch4, inquisitor4
	9999	9999	Divine Favor	cleric_oracle1, paladin1, inquisitor1
	9999	9999	Divine Power	cleric4_oracle4, inquisitor4
	9999	9999	Dominate Animal	druid3
	9999	9999	Dominate Monster	sorcerer_wizard9, summoner6, witch9
	9999	9999	Dominate Person	bard4, sorcerer_wizard5, witch5
	9999	9999	Doom	antipaladin1, cleric_oracle1, inquisitor1
	9999	9999	Dream	bard5, sorcerer_wizard5, alchemist5
	9999	9999	Eagle's Splendor	bard2, cleric2_oracle2, paladin2, sorcerer_wizard2, alchemist2, summoner2, antipaladin2
	9999	9999	Eagle's Splendor, Mass	bard6, cleric6_oracle6, sorcerer_wizard6, summoner4
	9999	9999	Earthquake	cleric_oracle8, druid8
	9999	9999	Elemental Body I	sorcerer_wizard4, alchemist4, magus4
	9999	9999	Elemental Body II	sorcerer_wizard5, alchemist5, magus5
	9999	9999	Elemental Body III	sorcerer_wizard6, alchemist6, magus6
	9999	9999	Elemental Body IV	sorcerer_wizard7
	9999	9999	Elemental Swarm	druid9, witch9
	9999	9999	Endure Elements	cleric_oracle1, druid1, paladin1, ranger1, sorcerer_wizard1, alchemist1, summoner1
	9999	9999	Energy Drain	cleric9_oracle9, sorcerer_wizard9
	9999	9999	Enervation	sorcerer_wizard4, witch4
	9999	9999	Enlarge Person	sorcerer_wizard1, alchemist1, summoner1, witch1, magus1
	9999	9999	Enlarge Person, Mass	sorcerer_wizard4, summoner3
	9999	9999	Entangle	druid1, ranger1
	9999	9999	Enthrall	bard2, cleric2_oracle2, witch2, inquisitor2
	9999	9999	Entropic Shield	cleric_oracle1
	9999	9999	Erase	bard1, sorcerer_wizard1
	9999	9999	Ethereal Jaunt	cleric7_oracle7, sorcerer_wizard7
	9999	9999	Etherealness	cleric9_oracle9, sorcerer_wizard9
	9999	9999	Expeditious Retreat	bard1, sorcerer_wizard1, alchemist1, summoner1, inquisitor1, magus1
	9999	9999	Explosive Runes	sorcerer_wizard3
	9999	9999	Eyebite	bard6, sorcerer_wizard6, alchemist6, witch6
	9999	9999	Fabricate	sorcerer_wizard5
	9999	9999	Faerie Fire	druid1
	9999	9999	False Life	sorcerer_wizard2, alchemist2, witch2
	9999	9999	False Vision	bard5, sorcerer_wizard5
	9999	9999	Feather Fall	bard1, sorcerer_wizard1, summoner1, magus1
	9999	9999	Feeblemind	sorcerer_wizard5, witch5
	9999	9999	Find the Path	bard6, cleric6_oracle6, druid6, witch6, inquisitor6
	9999	9999	Find Traps	cleric2_oracle2, witch2, inquisitor2
	9999	9999	Finger Of Death	druid8, sorcerer_wizard7
	9999	9999	Fire Shield	sorcerer_wizard4, alchemist4, summoner3, magus4
	9999	9999	Fire Seeds	druid6
	9999	9999	Fire Storm	cleric_oracle8, druid7
	9999	9999	Fire Trap	druid2, sorcerer_wizard4
	9999	9999	Fireball	sorcerer_wizard3, magus3
	9999	9999	Flame Arrow	sorcerer_wizard3, magus3
	9999	9999	Flame Blade	druid2
	9999	9999	Flame Strike	cleric_oracle5, druid4, inquisitor5
	9999	9999	Flaming Sphere	druid2, sorcerer_wizard2, magus2
	9999	9999	Flare	bard0, druid0, sorcerer_wizard0, magus0
	9999	9999	Flesh to Stone	sorcerer_wizard6, witch6, magus6
	9999	9999	Floating Disk	sorcerer_wizard1, magus1
	9999	9999	Fly	sorcerer_wizard3, alchemist3, summoner3, witch3, magus3
	9999	9999	Fog Cloud	druid2, magus2, sorcerer_wizard2, witch2
	9999	9999	Forbiddance	cleric6_oracle6, inquisitor6
	9999	9999	Forcecage	sorcerer_wizard7
	9999	9999	Forceful Hand	sorcerer_wizard6, magus6
	9999	9999	Foresight	druid9, sorcerer_wizard9, witch9
	9999	9999	Form of the Dragon I	sorcerer_wizard6, alchemist6, magus6
	9999	9999	Form of the Dragon II	sorcerer_wizard7
	9999	9999	Form of the Dragon III	sorcerer_wizard8
	9999	9999	Fox's Cunning	bard2, sorcerer_wizard2, alchemist2, summoner2
	9999	9999	Fox's Cunning, Mass	bard6, sorcerer_wizard6, summoner4
	9999	9999	Freedom	sorcerer_wizard9
	9999	9999	Freedom of Movement	bard4, cleric4_oracle4, druid4, ranger4, alchemist4, inquisitor4, alchemist4, inquisitor4
	9999	9999	Freezing Sphere	sorcerer_wizard6, magus6
	9999	9999	Gaseous Form	bard3, sorcerer_wizard3, alchemist3, magus3
	9999	9999	Gate	cleric9_oracle9, sorcerer_wizard9
	9999	9999	Geas_Quest	bard6, cleric6_oracle6, sorcerer_wizard6, inquisitor5, witch6
	9999	9999	Geas, Lesser	bard3, sorcerer_wizard4, witch4, inquisitor4
	9999	9999	Gentle Repose	cleric2_oracle2, sorcerer_wizard3, witch2
	9999	9999	Ghost Sound	bard0, sorcerer_wizard0, magus0
	9999	9999	Ghoul touch	sorcerer_wizard2
	9999	9999	Giant Form I	sorcerer_wizard7, alchemist6
	9999	9999	Giant Form II	sorcerer_wizard8
	9999	9999	Giant Vermin	cleric4_oracle4, druid4
	9999	9999	Glibness	bard3
	9999	9999	Glitterdust	bard2, sorcerer_wizard2, summoner2, witch2, magus2
	9999	9999	Globe of Invulnerability, Lesser	sorcerer_wizard4
	9999	9999	Globe Of Invulnerability	sorcerer_wizard6
	9999	9999	Glyph Of Warding	cleric_oracle3
	9999	9999	Glyph of Warding, Greater	cleric6_oracle6
	9999	9999	Goodberry	druid1
	9999	9999	Good Hope	bard3
	9999	9999	Grasping Hand	sorcerer_wizard7
	9999	9999	Grease	bard1, sorcerer_wizard1, summoner1, magus1
	9999	9999	Guards and Wards	sorcerer_wizard6, witch6
	9999	9999	Guidance	cleric0_oracle0, druid0, summoner0, witch0, inquisitor0, summoner0, witch0, inquisitor0
	9999	9999	Gust Of Wind	druid2, sorcerer_wizard2, magus2
	9999	9999	Hallow	cleric5_oracle5, druid5, inquisitor5
	9999	9999	Hallucinatory Terrain	bard4, sorcerer_wizard4
	9999	9999	Halt Undead	sorcerer_wizard3, inquisitor3
	9999	9999	Harm	cleric_oracle6, witch7, inquisitor6
	9999	9999	Haste	alchemist3, bard3, magus3, sorcerer_wizard3, summoner2
	9999	9999	Heal	cleric_oracle6, druid7, alchemist6, witch7, inquisitor6
	9999	9999	Heal, Mass	cleric9_oracle9
	9999	9999	Heal Mount	paladin3
	9999	9999	Heat Metal	druid2
	9999	9999	Helping Hand	cleric3_oracle3
	9999	9999	Heroes' Feast	bard6, cleric_oracle6, inquisitor6
	9999	9999	Heroism	bard2, sorcerer_wizard3, alchemist3, summoner3, witch3, inquisitor3
	9999	9999	Heroism, Greater	bard5, sorcerer_wizard6, summoner5, witch6
	9999	9999	Hide from Animals	druid1, ranger1
	9999	9999	Hide from Undead	cleric1_oracle1, inquisitor1
	9999	9999	Hideous Laughter	bard1, sorcerer_wizard2
	9999	9999	Hold Person	bard2, cleric2_oracle2, sorcerer_wizard3, witch2, inquisitor2, antipaladin2
	9999	9999	Hold Monster	bard4, sorcerer_wizard5, summoner4, witch5, inquisitor4, summoner4, witch5, inquisitor4
	9999	9999	Hold Monster, Mass	sorcerer_wizard9, witch9
	9999	9999	Hold Person, Mass	sorcerer_wizard7, witch7
	9999	9999	Hold Portal	sorcerer_wizard1
	9999	9999	Holy Aura	cleric8_oracle8
	9999	9999	Holy Smite	cleric_oracle4, inquisitor4
	9999	9999	Holy Sword	paladin4
	9999	9999	Holy Word	cleric_oracle7, inquisitor6
	9999	9999	Horrid Wilting	sorcerer_wizard8, witch8
	9999	9999	Hypnotic Pattern	bard2, sorcerer_wizard2
	9999	9999	Hypnotism	bard1, sorcerer_wizard1, witch1
	9999	9999	Ice Storm	druid4, sorcerer_wizard4, witch4, magus4
	9999	9999	Identify	bard1, sorcerer_wizard1, alchemist1, summoner1, witch1, alchemist1, summoner1, witch1
	9999	9999	Illusory Script	bard3, sorcerer_wizard3
	9999	9999	Illusory Wall	sorcerer_wizard4
	9999	9999	Imbue with Spell Ability	cleric4_oracle4
	9999	9999	Implosion	cleric9_oracle9
	9999	9999	Imprisonment	sorcerer_wizard9
	9999	9999	Incendiary Cloud	sorcerer_wizard8, summoner6
	9999	9999	Inflict Light Wounds	antipaladin1, cleric_oracle1, inquisitor1, witch1
	9999	9999	Inflict Critical Wounds	cleric_oracle4, witch5, inquisitor4
	9999	9999	Inflict Critical Wounds, Mass	cleric8_oracle8, witch9
	9999	9999	Inflict Light Wounds, Mass	cleric5_oracle5, witch6, inquisitor5
	9999	9999	Inflict Moderate Wounds	antipaladin3, cleric_oracle2, inquisitor2, witch2
	9999	9999	Inflict Moderate Wounds, Mass	cleric6_oracle6, witch7, inquisitor6
	9999	9999	Inflict Serious Wounds	cleric_oracle3, witch4, inquisitor3, antipaladin4
	9999	9999	Inflict Serious Wounds, Mass	cleric7_oracle7, witch8
	9999	9999	Insanity	sorcerer_wizard7, witch7
	9999	9999	Interposing Hand	sorcerer_wizard5, magus5
	9999	9999	Invisibility	bard2, sorcerer_wizard2, alchemist2, summoner2, inquisitor2, antipaladin2, magus2
	9999	9999	Invisibility, Greater	bard4, sorcerer_wizard4, alchemist4, summoner3, inquisitor4, antipaladin4
	9999	9999	Invisibility, Mass	sorcerer_wizard7, summoner5
	9999	9999	Invisibility Purge	cleric3_oracle3, inquisitor3
	9999	9999	Invisibility Sphere	bard3, sorcerer_wizard3
	9999	9999	Iron Body	sorcerer_wizard8
	9999	9999	Ironwood	druid6
	9999	9999	Irresistible Dance	bard6, sorcerer_wizard8, witch8
	9999	9999	Jump	druid1, ranger1, sorcerer_wizard1, alchemist1, summoner1, alchemist1, summoner1, magus1
	9999	9999	Keen Edge	sorcerer_wizard3, inquisitor3, magus3
	9999	9999	Knock	sorcerer_wizard2, inquisitor2
	9999	9999	Know Direction	bard0, druid0
	9999	9999	Legend Lore	bard4, sorcerer_wizard6, witch6, inquisitor6
	9999	9999	Levitate	sorcerer_wizard2, alchemist2, summoner2, witch2, magus2
	9999	9999	Light	bard0, cleric_oracle0, druid0, sorcerer_wizard0
	9999	9999	Lightning Bolt	sorcerer_wizard3, witch3, magus3
	9999	9999	Limited Wish	sorcerer_wizard7
	9999	9999	Liveoak	druid6
	9999	9999	Locate Object	bard2, cleric3_oracle3, sorcerer_wizard2, witch3, inquisitor3
	9999	9999	Locate Creature	bard4, sorcerer_wizard4, summoner3, witch4
	9999	9999	Longstrider	druid1, ranger1
	9999	9999	Lullaby	bard0
	9999	9999	Mage Armor	sorcerer_wizard1, summoner1, witch1
	9999	9999	Mage Hand	bard0, sorcerer_wizard0, summoner0, magus0
	9999	9999	Mage's Disjunction	sorcerer_wizard9
	9999	9999	Mage's Faithful Hound	sorcerer_wizard5, summoner4
	9999	9999	Mage's Lucubration	wizard6
	9999	9999	Mage's Magnificent Mansion	sorcerer_wizard7
	9999	9999	Mage's Private Sanctum	sorcerer_wizard5
	9999	9999	Mage's Sword	sorcerer_wizard7
	9999	9999	Magic Aura	bard1, sorcerer_wizard1
	9999	9999	Magic Circle against Evil	cleric3_oracle3, paladin3, sorcerer_wizard3, summoner3, inquisitor3, summoner3, inquisitor3
	9999	9999	Magic Circle against Chaos	cleric3_oracle3, paladin3, sorcerer_wizard3, summoner3, inquisitor3, summoner3, inquisitor3
	9999	9999	Magic Circle against Good	cleric3_oracle3, sorcerer_wizard3, summoner3, inquisitor3, antipaladin3
	9999	9999	Magic Circle against Law	cleric3_oracle3, sorcerer_wizard3, summoner3, inquisitor3, antipaladin3
	9999	9999	Magic Fang	druid1, ranger1, summoner1
	9999	9999	Magic Fang, Greater	druid3, ranger3, summoner3
	9999	9999	Magic Jar	sorcerer_wizard5, alchemist5, summoner4, witch5
	9999	9999	Magic Missile	sorcerer_wizard1, magus1
	9999	9999	Magic Mouth	bard1, sorcerer_wizard2, summoner1
	9999	9999	Magic Stone	cleric_oracle1, druid1
	9999	9999	Magic Vestment	cleric_oracle3, inquisitor3
	9999	9999	Magic Weapon	cleric1_oracle1, paladin1, sorcerer_wizard1, inquisitor1, antipaladin1, magus1
	9999	9999	Magic Weapon, Greater	cleric_oracle4, paladin3, sorcerer_wizard3, inquisitor3, antipaladin3, magus3
	9999	9999	Minor Creation	sorcerer_wizard4, summoner3, witch4
	9999	9999	Major Creation	sorcerer_wizard5, summoner4, witch5
	9999	9999	Major Image	bard3, sorcerer_wizard3, magus3
	9999	9999	Make Whole	cleric_oracle2, sorcerer_wizard2
	9999	9999	Mark of Justice	cleric5_oracle5, paladin4, witch5, inquisitor5
	9999	9999	Maze	sorcerer_wizard8, summoner6, witch8
	9999	9999	Meld into Stone	cleric3_oracle3, druid3
	9999	9999	Mending	bard0, cleric0_oracle0, druid0, sorcerer_wizard0, summoner0, witch0, summoner0, witch0
	9999	9999	Message	bard0, sorcerer_wizard0, summoner0, witch0
	9999	9999	Meteor Swarm	sorcerer_wizard9
	9999	9999	Mind Blank	sorcerer_wizard8, witch8
	9999	9999	Mind Fog	bard5, sorcerer_wizard5, witch5
	9999	9999	Minor Image	bard2, sorcerer_wizard2, magus2
	9999	9999	Miracle	cleric9_oracle9
	9999	9999	Mirage Arcana	bard5, sorcerer_wizard5
	9999	9999	Mirror Image	bard2, sorcerer_wizard2, magus2
	9999	9999	Misdirection	bard2, sorcerer_wizard2, summoner2
	9999	9999	Mislead	bard5, sorcerer_wizard6, alchemist6, magus6
	9999	9999	Mnemonic Enhancer	wizard4
	9999	9999	Modify Memory	bard4
	9999	9999	Moment of Prescience	sorcerer_wizard8, witch8
	9999	9999	Mount	sorcerer_wizard1, summoner1, witch1, magus1
	9999	9999	Move Earth	druid6, sorcerer_wizard6
	9999	9999	Neutralize Poison	bard4, cleric4_oracle4, druid3, paladin4, ranger3, alchemist4, witch4, inquisitor4
	9999	9999	Nightmare	bard5, sorcerer_wizard5, alchemist5
	9999	9999	Nondetection	ranger4, sorcerer_wizard3, alchemist3, summoner3, inquisitor3, antipaladin3
	9999	9999	Obscure Object	bard1, cleric3_oracle3, sorcerer_wizard2, inquisitor3
	9999	9999	Obscuring Mist	cleric1_oracle1, druid1, sorcerer_wizard1, witch1, magus1
	9999	9999	Open_Close	bard0, sorcerer_wizard0, summoner0, magus0
	9999	9999	Order's Wrath	cleric_oracle4, inquisitor4
	9999	9999	Overland Flight	sorcerer_wizard5, alchemist5, summoner4, witch5, magus5
	9999	9999	Owl's Wisdom	cleric2_oracle2, druid2, paladin2, ranger2, sorcerer_wizard2, alchemist2, summoner2
	9999	9999	Owl's Wisdom, Mass	cleric6_oracle6, druid6, sorcerer_wizard6, summoner4
	9999	9999	Passwall	sorcerer_wizard5
	9999	9999	Pass without Trace	druid1, ranger1
	9999	9999	Permanency	sorcerer_wizard5
	9999	9999	Permanent Image	bard6, sorcerer_wizard6
	9999	9999	Persistent Image	bard5, sorcerer_wizard5
	9999	9999	Phantasmal Killer	sorcerer_wizard4, witch4, magus4
	9999	9999	Phantom Steed	bard3, sorcerer_wizard3, summoner2, magus3
	9999	9999	Phantom Trap	sorcerer_wizard2
	9999	9999	Phase Door	sorcerer_wizard7, witch7
	9999	9999	Planar Ally, Lesser	cleric4_oracle4
	9999	9999	Planar Ally	cleric6_oracle6
	9999	9999	Planar Ally, Greater	cleric8_oracle8
	9999	9999	Planar Binding, Lesser	sorcerer_wizard5, summoner4
	9999	9999	Planar Binding	sorcerer_wizard6, summoner5
	9999	9999	Planar Binding, Greater	sorcerer_wizard8, summoner6
	9999	9999	Plane Shift	cleric_oracle5, sorcerer_wizard7, summoner5, witch7
	9999	9999	Plant Growth	druid3, ranger3
	9999	9999	Plant Shape I	sorcerer_wizard5, alchemist5
	9999	9999	Plant Shape II	sorcerer_wizard6, alchemist6
	9999	9999	Plant Shape III	sorcerer_wizard7
	9999	9999	Poison	cleric4_oracle4, druid3, witch4, antipaladin4
